구별,인구수,한국인,외국인,고령자,외국인비율,고령자비율,소계,최근 증가율
종로구,164348,154549,9799,26429,0.059623481879913356,0.16081120549078784,1619,248.92241379310343
중구,135139,126082,9057,21655,0.06701988323133959,0.1602424170668719,1023,147.6997578692494
용산구,245411,229909,15502,37238,0.063167502679179,0.15173728968954123,2096,53.216374269005854
성동구,314551,306532,8019,41752,0.02549348118429126,0.13273523212452035,1327,81.78082191780823
광진구,371671,357149,14522,44470,0.039072190189710795,0.11964882920647563,878,53.22862129144852
동대문구,364962,349308,15654,56284,0.04289213671560327,0.15421879538143698,1870,74.76635514018692
중랑구,411552,406868,4684,59992,0.01138130782987326,0.14577015784153644,916,79.96070726915521
성북구,453902,442226,11676,66896,0.025723614348471698,0.1473798308886059,1651,63.62735381565907
강북구,327511,323862,3649,57002,0.011141610510792004,0.17404606257499747,831,125.20325203252033
도봉구,345041,342861,2180,54293,0.006318089734263464,0.15735231465246158,825,246.6386554621849
노원구,555803,551902,3901,75081,0.007018673882652667,0.13508563285912453,1566,188.929889298893
은평구,490253,485902,4351,75535,0.008875009433904535,0.15407350898413677,2108,85.23725834797891
서대문구,324871,312311,12560,49645,0.03866149948748888,0.15281450175608163,1254,48.5781990521327
마포구,385624,374742,10882,50122,0.028219197975229756,0.1299763500197083,980,212.1019108280255
양천구,473087,469221,3866,56070,0.008171858453096365,0.1185194266593671,2482,34.67173087357569
강서구,608361,601696,6665,77381,0.010955666125869344,0.12719585903764377,911,134.7938144329897
구로구,440396,408369,32027,59838,0.07272318549668934,0.13587316869363028,1884,64.97373029772329
금천구,253344,234238,19106,34640,0.07541524567386636,0.13673108500694708,1348,100.0
영등포구,403988,369128,34860,54704,0.08628969177302297,0.13540996267215857,1277,157.97979797979798
동작구,406715,394353,12362,57711,0.03039474816517709,0.14189543046113373,1302,139.33823529411765
관악구,522292,504445,17847,70807,0.03417054061712605,0.13556975791319797,2109,149.29078014184398
서초구,445164,440954,4210,54055,0.009457188811314483,0.12142715942888463,2297,63.37126600284495
강남구,557865,552976,4889,65859,0.008763769012216217,0.11805544352128203,3238,150.61919504643964
송파구,671994,665282,6712,77978,0.009988184418313258,0.11603972654517748,1081,104.34782608695652
강동구,438225,434027,4198,56983,0.009579553882138171,0.13003137657595984,1010,166.49076517150397
