구분,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거
중부,4,4,3,3,109,57,765,426,945,801
종로,3,0,2,2,88,59,513,234,815,663
남대문,2,2,3,3,52,40,514,313,464,423
서대문,3,3,2,2,137,120,1027,562,1109,907
혜화,3,3,2,2,68,43,566,270,652,525
용산,3,2,1,1,141,103,945,484,1291,1069
성북,3,2,0,0,78,56,391,190,610,537
동대문,3,4,7,8,169,147,1240,659,1540,1295
마포,4,3,4,4,321,275,1510,730,1701,1367
영등포,8,8,11,11,279,196,1712,831,2169,1731
성동,3,4,4,1,110,82,905,497,1090,926
동작,2,3,1,1,180,94,1129,675,1319,1056
광진,5,3,4,4,208,161,1414,754,1456,1280
서부,2,3,1,1,66,50,706,400,782,677
강북,4,4,1,1,136,115,777,537,1383,1255
금천,7,6,3,4,134,103,1013,520,1282,1108
중랑,4,4,6,7,141,117,1399,835,1660,1442
강남,8,6,13,11,428,325,1517,737,1961,1699
관악,8,4,7,6,321,269,1860,929,2248,1926
강서,9,7,3,3,246,188,1540,921,2098,1925
강동,3,3,6,6,124,103,1612,889,1713,1461
종암,1,1,2,2,40,32,504,284,782,683
구로,5,5,2,1,182,118,1390,770,1907,1537
서초,9,9,5,5,265,191,1190,532,1488,1202
양천,1,1,3,3,116,92,1349,700,1546,1289
송파,3,3,7,6,247,216,2024,995,2433,2046
노원,6,6,3,3,156,126,1361,654,1899,1513
방배,0,0,0,0,47,37,313,159,339,304
은평,2,2,2,2,100,83,718,425,865,780
도봉,2,2,2,1,72,64,772,376,1012,851
수서,4,5,12,12,150,129,855,423,1198,1050
